x_target,y_target,z_target,x_error,y_error,z_error,j1,j2,j3,j4,j5,j6
200.0,88.23529411764706,140.0,1.0999999999999943,9.464705882352945,9.699999999999989,40.69,-26.98,-87.09,28.03,1.23,-51.59
200.0,76.47058823529412,140.0,7.599999999999994,9.92941176470589,9.400000000000006,36.56,-27.33,-87.09,28.47,1.4,-55.72
200.0,64.70588235294117,140.0,13.699999999999989,5.494117647058829,9.400000000000006,32.16,-27.33,-87.09,28.47,1.4,-59.94
200.0,52.94117647058824,140.0,18.5,0.3588235294117581,9.400000000000006,27.68,-27.33,-87.09,28.47,1.4,-64.24
200.0,41.17647058823529,140.0,22.0,-4.376470588235293,9.599999999999994,23.29,-27.33,-87.01,28.47,1.4,-68.46
200.0,29.411764705882348,140.0,24.099999999999994,-9.01176470588235,9.599999999999994,19.16,-27.33,-87.01,28.47,1.4,-72.68
200.0,17.64705882352942,140.0,25.0,-13.84705882352942,9.599999999999994,14.94,-27.33,-87.01,28.47,1.4,-76.72
200.0,5.882352941176478,140.0,24.69999999999999,-18.48235294117648,9.599999999999994,10.72,-27.33,-87.01,28.47,1.4,-81.03
200.0,-5.882352941176478,140.0,23.19999999999999,-22.917647058823523,9.599999999999994,6.59,-27.33,-87.01,28.47,1.4,-85.16
200.0,-17.64705882352942,140.0,20.5,-27.45294117647058,9.599999999999994,2.28,-27.33,-87.01,28.47,1.4,-88.85
200.0,-29.411764705882348,140.0,16.400000000000006,-32.18823529411765,9.599999999999994,-1.93,-27.33,-87.01,28.47,1.4,-93.16
200.0,-41.176470588235304,140.0,11.300000000000011,-36.12352941176469,9.599999999999994,-6.06,-27.33,-87.01,28.47,1.4,-96.32
200.0,-52.94117647058823,140.0,5.800000000000011,-38.15882352941176,9.599999999999994,-8.96,-27.33,-87.01,28.47,1.4,-96.5
200.0,-64.70588235294116,140.0,3.1999999999999886,-31.994117647058843,9.599999999999994,-9.31,-27.33,-87.01,28.47,1.4,-96.59
200.0,-76.47058823529412,140.0,3.4000000000000057,-19.82941176470588,9.599999999999994,-9.22,-27.33,-87.01,28.47,1.14,-96.76
200.0,-88.23529411764704,140.0,3.5,-8.064705882352953,8.599999999999994,-9.22,-27.77,-86.92,28.47,1.14,-97.03
200.0,100.0,140.0,0.6999999999999886,0.4000000000000057,10.800000000000011,42.97,-26.63,-87.01,27.42,0.08,-47.28
